Year,GDP,Final Exergy (Total)
2016,183,720712.4
2017,189,728254.4
2018,195,735796.3
2019,200,743338.3
2020,205,750880.3
2021,210,758422.3
2022,216,765964.2
2023,221,773506.2
2024,226,781048.2
2025,232,788590.1
2026,238,796132.1
2027,243,803674.1
2028,249,811216.1
2029,254,818758
2030,262,826300
