Year,GDP_t,Final Exergy (Total)_t
2016,183,720712.4
2017,189,719347.2
2018,189,683379.8
2019,189,649210.8
2020,189,616750.3
2021,189,585912.8
2022,189,556617.2
2023,189,528786.3
2024,189,502347
2025,189,477229.6
2026,189,453368.1
2027,189,430699.7
2028,189,409164.8
2029,189,388706.5
2030,189,369271.2
