Year,GDP_t,Final Exergy (Total)_t
2016,183,720712.4
2017,189,719347.2
2018,198,719347.2
2019,208,719347.2
2020,219,719347.2
2021,230,719347.2
2022,241,719347.2
2023,253,719347.2
2024,266,719347.2
2025,279,719347.2
2026,293,719347.2
2027,308,719347.2
2028,323,719347.2
2029,339,719347.2
2030,356,719347.2
