Year,GDP,Exergy
2015,180,15009.3
2016,183,14835.1
2017,189,14951.3
2018,195,15067.6
2019,200,15183.8
2020,205,15300.1
2021,210,15416.3
2022,216,15532.6
2023,221,15648.8
2024,226,15765.1
2025,232,15881.3
2026,238,15997.6
2027,243,16113.8
2028,249,16230.1
2029,254,16346.4
